date,department,category,description,amount,approved_by,flagged
2024-06-01,HR,Training,Leadership course x3 employees,900.0,G.Ferrari,False
2024-10-01,HR,Recruitment,Job board posting,299.0,G.Ferrari,False
,HR,Training,Python course licences,450.0,G.Ferrari,False
,HR,Office Supplies,Onboarding kits x2,120.0,G.Ferrari,False
,HR,Recruitment,Background check service,75.0,G.Ferrari,False
,HR,Training,Wellbeing workshop,600.0,G.Ferrari,False
2024-02-02,HR,Recruitment,Headhunter fee,3200.0,G.Ferrari,True
2024-07-02,HR,Training,Excel advanced course,340.0,G.Ferrari,False
2024-10-02,HR,Office Supplies,Employee anniversary gifts,210.0,G.Ferrari,False
,HR,Recruitment,LinkedIn recruiter monthly,825.0,G.Ferrari,False
,HR,Training,Safety certification,180.0,G.Ferrari,False
,HR,Office Supplies,Team building materials,95.0,G.Ferrari,False
2024-08-01,IT,Hardware,External monitors x2,580.0,R.Marino,False
2024-11-01,IT,Software,GitHub Enterprise,210.0,R.Marino,False
,IT,Hardware,Network switch replacement,340.0,R.Marino,False
,IT,Software,Jira licences x8,168.0,R.Marino,False
,IT,Security,Antivirus renewal x10,290.0,R.Marino,False
,IT,Hardware,Laptop for new hire,1100.0,R.Marino,False
,IT,Software,AWS monthly bill,876.45,R.Marino,False
2024-04-02,IT,Security,Penetration testing service,2800.0,R.Marino,True
2024-08-02,IT,Hardware,Keyboard and mouse sets x4,180.0,R.Marino,False
2024-12-02,IT,Software,AWS monthly bill,934.2,R.Marino,False
,IT,Hardware,UPS battery backup,265.0,R.Marino,False
,IT,Security,SSL certificates renewal,120.0,R.Marino,False
,IT,Software,Slack annual plan,720.0,R.Marino,False
,IT,Hardware,Server RAM upgrade,490.0,R.Marino,False
2024-04-01,Marketing,Software,Adobe Creative Cloud,79.99,L.Bianchi,False
2024-09-01,Marketing,Advertising,Google Ads January budget,1200.0,L.Bianchi,False
2024-11-01,Marketing,Events,Webinar platform fee,149.0,L.Bianchi,False
,Marketing,Software,Mailchimp subscription,55.0,L.Bianchi,False
,Marketing,Advertising,LinkedIn campaign,650.0,L.Bianchi,False
,Marketing,Meals,Agency briefing lunch,88.5,L.Bianchi,False
,Marketing,Events,Conference tickets x2,480.0,L.Bianchi,False
2024-05-02,Marketing,Software,Canva Pro annual,119.99,L.Bianchi,False
2024-08-02,Marketing,Advertising,Google Ads February,1350.0,L.Bianchi,False
2024-12-02,Marketing,Events,Venue deposit Q2 event,2500.0,L.Bianchi,True
,Marketing,Software,SEO tool subscription,99.0,L.Bianchi,False
,Marketing,Meals,Content agency lunch,76.0,L.Bianchi,False
,Marketing,Advertising,Facebook retargeting,420.0,L.Bianchi,False
,Marketing,Events,Speaker fee deposit,800.0,L.Bianchi,False
2024-03-01,Operations,Office Supplies,Printer paper and toner,87.4,P.Conti,False
2024-07-01,Operations,Utilities,Internet and phone January,129.0,P.Conti,False
2024-10-01,Operations,Software,Microsoft 365 licences x5,44.0,P.Conti,False
,Operations,Maintenance,Office cleaning service,220.0,P.Conti,False
,Operations,Office Supplies,Stationery order,63.2,P.Conti,False
,Operations,Utilities,Electricity bill,310.0,P.Conti,False
,Operations,Maintenance,Printer repair,185.0,P.Conti,False
,Operations,Software,Accounting software,149.0,P.Conti,False
2024-04-02,Operations,Office Supplies,Desk accessories,94.8,P.Conti,False
2024-06-02,Operations,Utilities,Internet and phone February,129.0,P.Conti,False
2024-09-02,Operations,Maintenance,HVAC service,380.0,P.Conti,False
,Operations,Software,Cloud storage upgrade,29.0,P.Conti,False
,Operations,Office Supplies,Ergonomic equipment,567.0,P.Conti,False
,Operations,Utilities,Electricity bill,298.0,P.Conti,False
,Operations,Maintenance,Security system check,145.0,P.Conti,False
2024-05-01,Sales,Travel,Flight to Milan client meeting,342.0,M.Rossi,False
2024-08-01,Sales,Software,CRM subscription monthly,89.0,M.Rossi,False
2024-12-01,Sales,Meals,Team lunch with prospects,127.5,M.Rossi,False
,Sales,Travel,Train to Rome,64.0,M.Rossi,False
,Sales,Marketing,Printed brochures,210.0,M.Rossi,False
,Sales,Meals,Client dinner,198.0,M.Rossi,False
,Sales,Travel,Taxi receipts January,43.5,M.Rossi,False
,Sales,Software,LinkedIn Sales Navigator,119.0,M.Rossi,False
2024-03-02,Sales,Travel,Flight to Turin,289.0,M.Rossi,False
2024-07-02,Sales,Meals,Prospect lunch,94.0,M.Rossi,False
2024-11-02,Sales,Marketing,Trade show materials,445.0,M.Rossi,False
,Sales,Travel,Hotel 2 nights Turin,310.0,M.Rossi,False
,Sales,Software,DocuSign annual,199.0,M.Rossi,False
,Sales,Meals,Team dinner (5 people),312.0,M.Rossi,False
,Sales,Travel,Train tickets x3,87.0,M.Rossi,False
