response_id,department,rating,comment
R001,Sales,5,The new CRM has completely changed how we work. Huge time saver and the reporting is excellent.
R002,Marketing,4,Good tools overall. Would love better integration between the email platform and analytics dashboard.
R003,HR,2,Onboarding process is still very manual. We keep asking for automation but nothing changes.
R004,IT,5,Infrastructure upgrades this quarter were smooth. Team communication has improved a lot.
R005,Sales,3,CRM is fine but training was too short. Half the team still uses spreadsheets instead.
R006,Finance,1,The expense system crashes every Monday morning. It has been reported three times with no fix.
R007,Marketing,5,Campaign performance this quarter was outstanding. The new analytics tools are brilliant.
R008,HR,4,New hiring workflow is much better. Onboarding still needs work but we are moving in the right direction.
R009,IT,3,Some improvements but the ticketing system is still slow. Response times need to come down.
R010,Sales,4,Targets feel realistic this quarter. Manager support has been strong and communication is clear.
R011,Finance,2,Budget approval process takes too long. We lose opportunities because decisions are too slow.
R012,Marketing,3,Mixed quarter. Some campaigns worked well but coordination with sales could be much better.
R013,HR,5,Training programme this year has been excellent. Staff feedback is very positive across the board.
R014,IT,1,Server downtime last month cost us two full days of work. This cannot keep happening.
R015,Sales,2,Pipeline reporting is confusing. Nobody understands what the numbers actually mean.
R016,Finance,4,New budget templates are much clearer. Approval times have improved since last quarter.
R017,Marketing,2,Social media strategy is unclear. The team is working hard but without a clear direction.
R018,HR,3,Benefits package is competitive but communication around changes is very poor.
R019,IT,4,New monitoring tools are working well. We can now spot problems before they affect users.
R020,Sales,5,Best quarter in two years. The new incentive structure is motivating the whole team.
R021,Finance,3,Month end close is still stressful. The new software helps but the process itself needs a redesign.
R022,Marketing,4,Content quality has improved significantly. SEO results are starting to reflect the investment.
R023,HR,1,Payroll had errors for the third month in a row. This is damaging trust across the company.
R024,IT,5,Zero major incidents this month. The new backup system has already saved us twice.
R025,Sales,3,Good product but pricing is becoming a problem in competitive deals. We need more flexibility.
R026,Finance,5,Quarterly close was the smoothest in years. The team worked really well together.
R027,Marketing,1,Agency relationship has broken down completely. Quality of output has dropped significantly.
R028,HR,4,Employee satisfaction scores are up. The wellbeing initiatives seem to be making a real difference.
R029,IT,2,Two critical patches still not deployed after six weeks. Security risk is being ignored.
R030,Sales,4,New product training was excellent. Feeling much more confident in complex sales conversations.
R031,Finance,3,Forecasting accuracy is improving but we still have too many manual adjustments at month end.
R032,Marketing,5,The rebrand has been received really well by clients. Very proud of the team effort.
R033,HR,2,Exit interview data shows recurring themes that management is not acting on.
R034,IT,4,Helpdesk satisfaction scores are up for the third consecutive month. Good progress.
R035,Sales,1,Lost three major accounts this quarter. Pricing and delivery promises need urgent attention.
R036,Finance,4,Audit preparation went smoothly this year. Documentation standards have really improved.
R037,Marketing,3,Events programme delivered mixed results. Some good learnings but ROI is hard to measure.
R038,HR,5,Graduate intake this year is the strongest we have had. Very optimistic about the pipeline.
R039,IT,3,Cloud migration is on track but communication to end users has not been good enough.
R040,Sales,2,Too many admin tasks taking time away from actual selling. Process needs a serious review.
